,Id,SalePrice
0,1461,123807.56571739912
1,1462,155849.39271062613
2,1463,210101.03123784065
3,1464,210611.73038184643
4,1465,224793.2942867279
5,1466,212945.34025788307
6,1467,183373.033452034
7,1468,204042.77492165565
8,1469,220107.74713754654
9,1470,134761.62992417812
10,1471,225204.48038578033
11,1472,123095.70514857769
12,1473,118129.88187968731
13,1474,176336.58987134695
14,1475,146582.3718458414
15,1476,497201.16626024246
16,1477,307761.0776245594
17,1478,406974.3172645569
18,1479,370181.0589194298
19,1480,656036.0039710999
20,1481,404816.5774345398
21,1482,251017.31011271477
22,1483,199618.27514767647
23,1484,194019.16948854923
24,1485,202528.10353934765
25,1486,230353.55616509914
26,1487,442736.4341855049
27,1488,136723.5305711627
28,1489,219572.90475964546
29,1490,246928.4334808588
30,1491,210626.19486153126
31,1492,115608.27668905258
32,1493,210064.5052075386
33,1494,378133.1748843193
34,1495,353727.6488959789
35,1496,271944.32188272476
36,1497,213382.15037584305
37,1498,185723.23241233826
38,1499,185723.23241233826
39,1500,175367.9847881198
40,1501,193107.5853586197
41,1502,185723.23241233826
42,1503,344633.33263099194
43,1504,266489.2172008753
44,1505,271944.32188272476
45,1506,227202.85341143608
46,1507,289119.4965660572
47,1508,227218.99182200432
48,1509,163360.9858646989
49,1510,155781.81311637163
50,1511,155781.81311637163
51,1512,195663.37736845016
52,1513,167407.93911218643
53,1514,182469.00347173214
54,1515,258164.39408659935
55,1516,177748.46472889185
56,1517,155600.93200802803
57,1518,195663.37736845016
58,1519,237256.50375783443
59,1520,135377.21800655127
60,1521,144259.90004837513
61,1522,205180.31826019287
62,1523,127203.07013243437
63,1524,128686.45188361406
64,1525,128686.45188361406
65,1526,129715.0931417942
66,1527,129100.7712379098
67,1528,133714.81149345636
68,1529,149423.31154346466
69,1530,183158.40546786785
70,1531,174445.23038864136
71,1532,133412.29140758514
72,1533,155010.2812036872
73,1534,125509.36325788498
74,1535,161162.15961575508
75,1536,123571.65949642658
76,1537,125034.12784188986
77,1538,169363.22987824678
78,1539,217571.65600657463
